date,sku_id,region,pos_units
2024-01-01,SKU100,ANZ-North,323
2024-01-01,SKU100,ANZ-South,284
2024-01-01,SKU100,ANZ-East,402
2024-01-01,SKU100,ANZ-West,335
2024-01-01,SKU110,ANZ-North,196
2024-01-01,SKU110,ANZ-South,184
2024-01-01,SKU110,ANZ-East,216
2024-01-01,SKU110,ANZ-West,212
2024-01-01,SKU200,ANZ-North,147
2024-01-01,SKU200,ANZ-South,180
2024-01-01,SKU200,ANZ-East,154
2024-01-01,SKU200,ANZ-West,149
2024-01-01,SKU210,ANZ-North,111
2024-01-01,SKU210,ANZ-South,104
2024-01-01,SKU210,ANZ-East,103
2024-01-01,SKU210,ANZ-West,170
2024-01-01,SKU300,ANZ-North,89
2024-01-01,SKU300,ANZ-South,98
2024-01-01,SKU300,ANZ-East,99
2024-01-01,SKU300,ANZ-West,102
2024-01-01,SKU310,ANZ-North,84
2024-01-01,SKU310,ANZ-South,105
2024-01-01,SKU310,ANZ-East,89
2024-01-01,SKU310,ANZ-West,87
2024-01-02,SKU100,ANZ-North,302
2024-01-02,SKU100,ANZ-South,388
2024-01-02,SKU100,ANZ-East,414
2024-01-02,SKU100,ANZ-West,400
2024-01-02,SKU110,ANZ-North,239
2024-01-02,SKU110,ANZ-South,292
2024-01-02,SKU110,ANZ-East,246
2024-01-02,SKU110,ANZ-West,245
2024-01-02,SKU200,ANZ-North,165
2024-01-02,SKU200,ANZ-South,165
2024-01-02,SKU200,ANZ-East,161
2024-01-02,SKU200,ANZ-West,147
2024-01-02,SKU210,ANZ-North,149
2024-01-02,SKU210,ANZ-South,128
2024-01-02,SKU210,ANZ-East,127
2024-01-02,SKU210,ANZ-West,139
2024-01-02,SKU300,ANZ-North,106
2024-01-02,SKU300,ANZ-South,113
2024-01-02,SKU300,ANZ-East,112
2024-01-02,SKU300,ANZ-West,121
2024-01-02,SKU310,ANZ-North,77
2024-01-02,SKU310,ANZ-South,86
2024-01-02,SKU310,ANZ-East,112
2024-01-02,SKU310,ANZ-West,93
2024-01-03,SKU100,ANZ-North,309
2024-01-03,SKU100,ANZ-South,372
2024-01-03,SKU100,ANZ-East,387
2024-01-03,SKU100,ANZ-West,282
2024-01-03,SKU110,ANZ-North,240
2024-01-03,SKU110,ANZ-South,214
2024-01-03,SKU110,ANZ-East,166
2024-01-03,SKU110,ANZ-West,259
2024-01-03,SKU200,ANZ-North,193
2024-01-03,SKU200,ANZ-South,142
2024-01-03,SKU200,ANZ-East,141
2024-01-03,SKU200,ANZ-West,185
2024-01-03,SKU210,ANZ-North,144
2024-01-03,SKU210,ANZ-South,137
2024-01-03,SKU210,ANZ-East,143
2024-01-03,SKU210,ANZ-West,166
2024-01-03,SKU300,ANZ-North,87
2024-01-03,SKU300,ANZ-South,96
2024-01-03,SKU300,ANZ-East,119
2024-01-03,SKU300,ANZ-West,78
2024-01-03,SKU310,ANZ-North,102
2024-01-03,SKU310,ANZ-South,91
2024-01-03,SKU310,ANZ-East,111
2024-01-03,SKU310,ANZ-West,101
2024-01-04,SKU100,ANZ-North,426
2024-01-04,SKU100,ANZ-South,346
2024-01-04,SKU100,ANZ-East,388
2024-01-04,SKU100,ANZ-West,337
2024-01-04,SKU110,ANZ-North,281
2024-01-04,SKU110,ANZ-South,260
2024-01-04,SKU110,ANZ-East,191
2024-01-04,SKU110,ANZ-West,274
2024-01-04,SKU200,ANZ-North,140
2024-01-04,SKU200,ANZ-South,180
2024-01-04,SKU200,ANZ-East,112
2024-01-04,SKU200,ANZ-West,162
2024-01-04,SKU210,ANZ-North,158
2024-01-04,SKU210,ANZ-South,159
2024-01-04,SKU210,ANZ-East,160
2024-01-04,SKU210,ANZ-West,138
2024-01-04,SKU300,ANZ-North,93
2024-01-04,SKU300,ANZ-South,96
2024-01-04,SKU300,ANZ-East,118
2024-01-04,SKU300,ANZ-West,80
2024-01-04,SKU310,ANZ-North,81
2024-01-04,SKU310,ANZ-South,62
2024-01-04,SKU310,ANZ-East,86
2024-01-04,SKU310,ANZ-West,72
2024-01-05,SKU100,ANZ-North,410
2024-01-05,SKU100,ANZ-South,353
2024-01-05,SKU100,ANZ-East,427
2024-01-05,SKU100,ANZ-West,372
2024-01-05,SKU110,ANZ-North,192
2024-01-05,SKU110,ANZ-South,221
2024-01-05,SKU110,ANZ-East,224
2024-01-05,SKU110,ANZ-West,277
2024-01-05,SKU200,ANZ-North,149
2024-01-05,SKU200,ANZ-South,136
2024-01-05,SKU200,ANZ-East,187
2024-01-05,SKU200,ANZ-West,139
2024-01-05,SKU210,ANZ-North,131
2024-01-05,SKU210,ANZ-South,127
2024-01-05,SKU210,ANZ-East,154
2024-01-05,SKU210,ANZ-West,124
2024-01-05,SKU300,ANZ-North,103
2024-01-05,SKU300,ANZ-South,98
2024-01-05,SKU300,ANZ-East,116
2024-01-05,SKU300,ANZ-West,94
2024-01-05,SKU310,ANZ-North,115
2024-01-05,SKU310,ANZ-South,103
2024-01-05,SKU310,ANZ-East,114
2024-01-05,SKU310,ANZ-West,99
2024-01-06,SKU100,ANZ-North,367
2024-01-06,SKU100,ANZ-South,324
2024-01-06,SKU100,ANZ-East,349
2024-01-06,SKU100,ANZ-West,350
2024-01-06,SKU110,ANZ-North,229
2024-01-06,SKU110,ANZ-South,252
2024-01-06,SKU110,ANZ-East,252
