date,sku_id,customer_id,units_sold,revenue,unit_price,promo_flag
2024-01-01,SKU100,C001,176,316.8,1.8,False
2024-01-01,SKU100,C002,166,298.8,1.8,False
2024-01-01,SKU100,C003,189,340.2,1.8,False
2024-01-01,SKU100,C004,92,165.6,1.8,False
2024-01-01,SKU100,C005,73,131.4,1.8,False
2024-01-01,SKU100,C006,108,194.4,1.8,False
2024-01-01,SKU100,C007,207,372.6,1.8,False
2024-01-01,SKU100,C008,209,376.2,1.8,False
2024-01-01,SKU100,C009,192,345.6,1.8,False
2024-01-01,SKU100,C010,173,311.4,1.8,False
2024-01-01,SKU110,C001,102,193.8,1.9,False
2024-01-01,SKU110,C002,115,218.5,1.9,False
2024-01-01,SKU110,C003,89,169.1,1.9,False
2024-01-01,SKU110,C004,64,121.6,1.9,False
2024-01-01,SKU110,C005,83,157.7,1.9,False
2024-01-01,SKU110,C006,67,127.3,1.9,False
2024-01-01,SKU110,C007,162,307.8,1.9,False
2024-01-01,SKU110,C008,115,218.5,1.9,False
2024-01-01,SKU110,C009,140,266.0,1.9,False
2024-01-01,SKU110,C010,112,212.8,1.9,False
2024-01-01,SKU200,C001,70,84.0,1.2,False
2024-01-01,SKU200,C002,71,85.2,1.2,False
2024-01-01,SKU200,C003,65,78.0,1.2,False
2024-01-01,SKU200,C004,47,56.4,1.2,False
2024-01-01,SKU200,C005,47,56.4,1.2,False
2024-01-01,SKU200,C006,39,46.8,1.2,False
2024-01-01,SKU200,C007,82,98.4,1.2,False
2024-01-01,SKU200,C008,95,114.0,1.2,False
2024-01-01,SKU200,C009,75,90.0,1.2,False
2024-01-01,SKU200,C010,86,103.2,1.2,False
2024-01-01,SKU210,C001,55,71.5,1.3,False
2024-01-01,SKU210,C002,73,94.9,1.3,False
2024-01-01,SKU210,C003,59,76.7,1.3,False
2024-01-01,SKU210,C004,32,41.6,1.3,False
2024-01-01,SKU210,C005,34,44.2,1.3,False
2024-01-01,SKU210,C006,48,62.4,1.3,False
2024-01-01,SKU210,C007,83,107.9,1.3,False
2024-01-01,SKU210,C008,71,92.3,1.3,False
2024-01-01,SKU210,C009,55,71.5,1.3,False
2024-01-01,SKU210,C010,80,104.0,1.3,False
2024-01-01,SKU300,C001,54,81.0,1.5,False
2024-01-01,SKU300,C002,44,66.0,1.5,False
2024-01-01,SKU300,C003,47,70.5,1.5,False
2024-01-01,SKU300,C004,28,42.0,1.5,False
2024-01-01,SKU300,C005,39,58.5,1.5,False
2024-01-01,SKU300,C006,34,51.0,1.5,False
2024-01-01,SKU300,C007,48,72.0,1.5,False
2024-01-01,SKU300,C008,56,84.0,1.5,False
2024-01-01,SKU300,C009,60,90.0,1.5,False
2024-01-01,SKU300,C010,55,82.5,1.5,False
2024-01-01,SKU310,C001,42,63.0,1.5,False
2024-01-01,SKU310,C002,56,84.0,1.5,False
2024-01-01,SKU310,C003,41,61.5,1.5,False
2024-01-01,SKU310,C004,26,39.0,1.5,False
2024-01-01,SKU310,C005,32,48.0,1.5,False
2024-01-01,SKU310,C006,19,28.5,1.5,False
2024-01-01,SKU310,C007,60,90.0,1.5,False
2024-01-01,SKU310,C008,55,82.5,1.5,False
2024-01-01,SKU310,C009,59,88.5,1.5,False
2024-01-01,SKU310,C010,42,63.0,1.5,False
2024-01-02,SKU100,C001,183,329.4,1.8,False
2024-01-02,SKU100,C002,164,295.2,1.8,False
2024-01-02,SKU100,C003,173,311.4,1.8,False
2024-01-02,SKU100,C004,102,183.6,1.8,False
2024-01-02,SKU100,C005,97,174.6,1.8,False
2024-01-02,SKU100,C006,92,165.6,1.8,False
2024-01-02,SKU100,C007,238,428.4,1.8,False
2024-01-02,SKU100,C008,216,388.8,1.8,False
2024-01-02,SKU100,C009,143,257.4,1.8,False
2024-01-02,SKU100,C010,156,280.8,1.8,False
2024-01-02,SKU110,C001,103,195.7,1.9,False
2024-01-02,SKU110,C002,118,224.2,1.9,False
2024-01-02,SKU110,C003,121,229.9,1.9,False
2024-01-02,SKU110,C004,71,134.9,1.9,False
2024-01-02,SKU110,C005,55,104.5,1.9,False
2024-01-02,SKU110,C006,79,150.1,1.9,False
2024-01-02,SKU110,C007,113,214.7,1.9,False
2024-01-02,SKU110,C008,91,172.9,1.9,False
2024-01-02,SKU110,C009,128,243.2,1.9,False
2024-01-02,SKU110,C010,123,233.7,1.9,False
2024-01-02,SKU200,C001,78,93.6,1.2,False
2024-01-02,SKU200,C002,79,94.8,1.2,False
2024-01-02,SKU200,C003,74,88.8,1.2,False
2024-01-02,SKU200,C004,52,62.4,1.2,False
2024-01-02,SKU200,C005,41,49.2,1.2,False
2024-01-02,SKU200,C006,43,51.6,1.2,False
2024-01-02,SKU200,C007,107,128.4,1.2,False
2024-01-02,SKU200,C008,107,128.4,1.2,False
2024-01-02,SKU200,C009,78,93.6,1.2,False
2024-01-02,SKU200,C010,80,96.0,1.2,False
2024-01-02,SKU210,C001,81,105.3,1.3,False
2024-01-02,SKU210,C002,76,98.8,1.3,False
2024-01-02,SKU210,C003,75,97.5,1.3,False
2024-01-02,SKU210,C004,32,41.6,1.3,False
2024-01-02,SKU210,C005,45,58.5,1.3,False
2024-01-02,SKU210,C006,40,52.0,1.3,False
2024-01-02,SKU210,C007,88,114.4,1.3,False
2024-01-02,SKU210,C008,79,102.7,1.3,False
2024-01-02,SKU210,C009,65,84.5,1.3,False
2024-01-02,SKU210,C010,63,81.9,1.3,False
2024-01-02,SKU300,C001,41,61.5,1.5,False
2024-01-02,SKU300,C002,59,88.5,1.5,False
2024-01-02,SKU300,C003,39,58.5,1.5,False
2024-01-02,SKU300,C004,30,45.0,1.5,False
2024-01-02,SKU300,C005,29,43.5,1.5,False
2024-01-02,SKU300,C006,42,63.0,1.5,False
2024-01-02,SKU300,C007,54,81.0,1.5,False
2024-01-02,SKU300,C008,46,69.0,1.5,False
2024-01-02,SKU300,C009,56,84.0,1.5,False
2024-01-02,SKU300,C010,50,75.0,1.5,False
2024-01-02,SKU310,C001,61,91.5,1.5,False
2024-01-02,SKU310,C002,67,100.5,1.5,False
2024-01-02,SKU310,C003,45,67.5,1.5,False
2024-01-02,SKU310,C004,32,48.0,1.5,False
2024-01-02,SKU310,C005,38,57.0,1.5,False
2024-01-02,SKU310,C006,39,58.5,1.5,False
2024-01-02,SKU310,C007,38,57.0,1.5,False
2024-01-02,SKU310,C008,51,76.5,1.5,False
2024-01-02,SKU310,C009,44,66.0,1.5,False
2024-01-02,SKU310,C010,50,75.0,1.5,False
2024-01-03,SKU100,C001,198,356.4,1.8,False
2024-01-03,SKU100,C002,154,277.2,1.8,False
2024-01-03,SKU100,C003,191,343.8,1.8,False
2024-01-03,SKU100,C004,102,183.6,1.8,False
2024-01-03,SKU100,C005,116,208.8,1.8,False
2024-01-03,SKU100,C006,105,189.0,1.8,False
2024-01-03,SKU100,C007,194,349.2,1.8,False
2024-01-03,SKU100,C008,177,318.6,1.8,False
2024-01-03,SKU100,C009,167,300.6,1.8,False
2024-01-03,SKU100,C010,178,320.4,1.8,False
2024-01-03,SKU110,C001,118,224.2,1.9,False
2024-01-03,SKU110,C002,122,231.8,1.9,False
2024-01-03,SKU110,C003,118,224.2,1.9,False
2024-01-03,SKU110,C004,76,144.4,1.9,False
2024-01-03,SKU110,C005,70,133.0,1.9,False
2024-01-03,SKU110,C006,76,144.4,1.9,False
2024-01-03,SKU110,C007,167,317.3,1.9,False
2024-01-03,SKU110,C008,154,292.6,1.9,False
2024-01-03,SKU110,C009,106,201.4,1.9,False
2024-01-03,SKU110,C010,91,172.9,1.9,False
2024-01-03,SKU200,C001,66,79.2,1.2,False
2024-01-03,SKU200,C002,79,94.8,1.2,False
2024-01-03,SKU200,C003,52,62.4,1.2,False
2024-01-03,SKU200,C004,40,48.0,1.2,False
2024-01-03,SKU200,C005,39,46.8,1.2,False
2024-01-03,SKU200,C006,50,60.0,1.2,False
2024-01-03,SKU200,C007,75,90.0,1.2,False
2024-01-03,SKU200,C008,113,135.6,1.2,False
2024-01-03,SKU200,C009,89,106.8,1.2,False
2024-01-03,SKU200,C010,65,78.0,1.2,False
2024-01-03,SKU210,C001,75,97.5,1.3,False
2024-01-03,SKU210,C002,70,91.0,1.3,False
2024-01-03,SKU210,C003,83,107.9,1.3,False
2024-01-03,SKU210,C004,37,48.1,1.3,False
2024-01-03,SKU210,C005,39,50.7,1.3,False
2024-01-03,SKU210,C006,30,39.0,1.3,False
2024-01-03,SKU210,C007,64,83.2,1.3,False
2024-01-03,SKU210,C008,83,107.9,1.3,False
2024-01-03,SKU210,C009,71,92.3,1.3,False
2024-01-03,SKU210,C010,70,91.0,1.3,False
2024-01-03,SKU300,C001,39,58.5,1.5,False
2024-01-03,SKU300,C002,53,79.5,1.5,False
2024-01-03,SKU300,C003,36,54.0,1.5,False
2024-01-03,SKU300,C004,25,37.5,1.5,False
2024-01-03,SKU300,C005,25,37.5,1.5,False
2024-01-03,SKU300,C006,37,55.5,1.5,False
2024-01-03,SKU300,C007,43,64.5,1.5,False
2024-01-03,SKU300,C008,69,103.5,1.5,False
2024-01-03,SKU300,C009,48,72.0,1.5,False
2024-01-03,SKU300,C010,43,64.5,1.5,False
2024-01-03,SKU310,C001,41,61.5,1.5,False
2024-01-03,SKU310,C002,36,54.0,1.5,False
2024-01-03,SKU310,C003,41,61.5,1.5,False
2024-01-03,SKU310,C004,28,42.0,1.5,False
2024-01-03,SKU310,C005,20,30.0,1.5,False
2024-01-03,SKU310,C006,31,46.5,1.5,False
2024-01-03,SKU310,C007,57,85.5,1.5,False
2024-01-03,SKU310,C008,52,78.0,1.5,False
2024-01-03,SKU310,C009,38,57.0,1.5,False
2024-01-03,SKU310,C010,50,75.0,1.5,False
2024-01-04,SKU100,C001,182,327.6,1.8,False
2024-01-04,SKU100,C002,158,284.4,1.8,False
2024-01-04,SKU100,C003,180,324.0,1.8,False
2024-01-04,SKU100,C004,127,228.6,1.8,False
2024-01-04,SKU100,C005,98,176.4,1.8,False
2024-01-04,SKU100,C006,108,194.4,1.8,False
